Date,Open,High,Low,Close,Adj Close,Volume
2023-04-03,423.100006,424.899994,419.450012,424.25,424.25,267405.0
2023-04-05,421.5,428.799988,421.5,426.399994,426.399994,306016.0
2023-04-06,426.049988,439.0,423.75,437.549988,437.549988,430488.0
2023-04-10,450.049988,473.100006,450.049988,461.049988,461.049988,2059522.0
2023-04-11,463.850006,464.049988,455.799988,458.75,458.75,517405.0
2023-04-12,459.149994,468.5,458.5,465.25,465.25,1178658.0
2023-04-13,464.399994,471.899994,463.049988,469.549988,469.549988,529190.0
2023-04-17,470.0,472.850006,465.75,471.899994,471.899994,1031898.0
2023-04-18,472.0,483.5,468.149994,472.950012,472.950012,805257.0
2023-04-19,472.950012,475.600006,468.0,468.950012,468.950012,410346.0
2023-04-20,472.600006,479.700012,469.25,476.799988,476.799988,524346.0
2023-04-21,476.149994,476.799988,467.200012,471.0,471.0,450971.0
2023-04-24,471.0,475.899994,468.5,475.049988,475.049988,425797.0
2023-04-25,471.049988,476.25,471.049988,473.299988,473.299988,279323.0
2023-04-26,472.350006,479.549988,472.350006,478.049988,478.049988,429651.0
2023-04-27,475.700012,482.0,475.700012,481.5,481.5,228717.0
2023-04-28,481.100006,487.899994,478.399994,485.149994,485.149994,426312.0
2023-05-02,482.25,484.100006,474.600006,480.25,480.25,901669.0
2023-05-03,477.049988,485.0,477.049988,483.899994,483.899994,332157.0
2023-05-04,482.75,486.5,479.0,480.75,480.75,513232.0
2023-05-05,480.75,484.75,476.25,477.200012,477.200012,285804.0
2023-05-08,478.450012,502.0,478.450012,500.200012,500.200012,2637706.0
2023-05-09,501.149994,512.650024,501.149994,503.549988,503.549988,1024419.0
2023-05-10,508.0,513.0,504.450012,509.450012,509.450012,545627.0
2023-05-11,511.149994,514.200012,505.549988,511.649994,511.649994,496748.0
2023-05-12,514.0,520.400024,510.149994,515.650024,515.650024,2013400.0
2023-05-15,525.0,537.150024,521.400024,530.799988,530.799988,1518106.0
2023-05-16,533.25,536.0,519.0,521.049988,521.049988,849919.0
2023-05-17,522.799988,523.950012,512.5,515.549988,515.549988,727239.0
2023-05-18,,,,,,
2023-05-19,509.049988,526.5,504.75,524.75,524.75,814048.0
2023-05-22,524.049988,526.950012,519.450012,522.349976,522.349976,451341.0
2023-05-23,521.549988,531.0,521.299988,528.5,528.5,459653.0
2023-05-24,528.0,529.650024,519.25,520.200012,520.200012,319439.0
2023-05-25,518.799988,518.799988,509.100006,514.700012,514.700012,519276.0
2023-05-26,513.049988,519.75,512.200012,518.549988,518.549988,352576.0
2023-05-29,,,,,,
2023-05-30,520.549988,523.650024,518.049988,518.799988,518.799988,184065.0
2023-05-31,520.099976,527.650024,517.0,526.450012,526.450012,388590.0
2023-06-01,526.599976,536.200012,522.799988,535.25,535.25,1174802.0
2023-06-02,536.599976,541.099976,532.799988,535.75,535.75,952306.0
2023-06-05,538.049988,548.650024,538.0,546.450012,546.450012,787700.0
2023-06-06,548.599976,557.0,545.5,555.650024,555.650024,1232722.0
2023-06-07,557.599976,574.950012,552.099976,567.950012,567.950012,1076315.0
2023-06-08,569.650024,576.5,557.150024,559.650024,559.650024,1567856.0
2023-06-09,564.099976,566.400024,559.400024,562.200012,562.200012,475377.0
2023-06-12,566.200012,568.849976,560.799988,563.700012,563.700012,333405.0
2023-06-13,568.200012,571.200012,560.799988,561.799988,561.799988,539003.0
2023-06-14,567.0,570.950012,563.700012,570.150024,570.150024,516739.0
2023-06-15,571.200012,575.0,567.549988,568.25,568.25,316729.0
2023-06-16,569.0,572.049988,566.150024,569.549988,569.549988,258002.0
2023-06-19,570.5,573.299988,564.349976,565.75,565.75,296851.0
2023-06-20,565.75,584.0,562.400024,583.299988,583.299988,572894.0
2023-06-21,585.0,585.950012,574.5,581.200012,581.200012,779848.0
2023-06-22,583.799988,584.650024,568.400024,569.299988,569.299988,416157.0
2023-06-23,570.0,570.799988,557.450012,559.25,559.25,486222.0
2023-06-26,560.0,569.0,557.75,567.849976,567.849976,278045.0
2023-06-27,570.299988,576.900024,568.849976,573.049988,573.049988,635864.0
2023-06-28,579.950012,589.950012,575.700012,586.700012,586.700012,810157.0
2023-06-30,587.599976,599.0,587.599976,595.5,595.5,1360905.0
2023-07-03,,,,,,
2023-07-04,,,,,,
2023-07-05,,,,,,
2023-07-06,,,,,,
2023-07-07,600.799988,624.650024,592.25,618.450012,618.450012,1690986.0
2023-07-10,625.0,634.599976,617.5,618.450012,618.450012,2131852.0
2023-07-11,,,,,,
2023-07-12,,,,,,
2023-07-13,,,,,,
2023-07-14,623.0,625.700012,619.349976,624.75,624.75,652257.0
2023-07-17,626.25,627.0,617.099976,618.349976,618.349976,437804.0
2023-07-18,,,,,,
2023-07-19,613.75,625.150024,610.0,620.450012,620.450012,1038206.0
2023-07-20,621.349976,623.5,616.349976,621.549988,621.549988,514509.0
2023-07-21,621.0,631.0,617.25,625.799988,625.799988,728979.0
2023-07-24,628.0,634.349976,625.799988,629.25,629.25,1035136.0
2023-07-25,,,,,,
2023-07-26,642.0,665.299988,639.0,640.599976,640.599976,2002646.0
2023-07-27,,,,,,
2023-07-28,646.200012,646.200012,632.150024,635.200012,635.200012,767391.0
2023-07-31,,,,,,
2023-08-01,,,,,,
2023-08-02,,,,,,
2023-08-03,624.25,626.25,614.349976,618.799988,618.799988,1108607.0
2023-08-04,625.0,625.25,612.700012,614.549988,614.549988,670421.0
2023-08-07,618.549988,618.599976,608.700012,609.549988,609.549988,850986.0
2023-08-08,611.349976,614.799988,605.299988,607.200012,607.200012,1000655.0
2023-08-09,610.0,624.099976,605.5,622.799988,622.799988,868341.0
2023-08-10,623.0,628.25,601.599976,618.099976,618.099976,1410506.0
2023-08-11,620.900024,624.5,610.299988,611.700012,611.700012,689271.0
2023-08-14,611.049988,611.700012,594.599976,607.150024,607.150024,533603.0
2023-08-16,605.299988,621.150024,597.25,618.799988,618.799988,587907.0
2023-08-17,619.349976,621.900024,611.0,613.549988,613.549988,902619.0
2023-08-18,613.549988,620.049988,610.75,615.75,615.75,722987.0
